Estuary_name,Site_Code,Estuary_type,Disturbance_class,Summer,Date,Temp C,pH,Salinity (PSU),Turbidity (NTU),Days_Elapsed,Latitude ,Longitude,Seagrass_area (km^2),Mangrove_area (km^2),Total_estuary_area (m^2),Estuary_volume (ML),total_sa_vol,Total_area_saltmarsh (km^2),Average_depth (m),Perimeter (km),openwater_SA.volume,Total_flush_time (days),Retention_factor,Propn_increase_N,percent_cleared,percent_urban,Catchment_area (km^2),lat_area,lon_area
Lake Arragan,ARA,Lake,VL,2012,2012-11-11,18.92,,37.94,3.64,1865.0,-29.57,153.34,0.0,0.0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1.0,0.0,0.0,9.28,-29.6,153.3
Lake Arragan,ARA,Lake,VL,2009,2009-05-10,21.5,,29.28,11.02,732.0,-29.57,153.34,0.0,0.0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1.0,0.0,0.0,9.28,-29.6,153.3
Lake Arragan,ARA,Lake,VL,2009,2009-05-10,23.46,,29.42,15.09,732.0,-29.57,153.34,0.0,0.0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1.0,0.0,0.0,9.28,-29.6,153.3
Lake Arragan,ARA,Lake,VL,2012,2012-10-30,24.42,,39.95,4.05,1853.0,-29.57,153.34,0.0,0.0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1.0,0.0,0.0,9.28,-29.6,153.3
Lake Arragan,ARA,Lake,VL,2012,2012-10-30,25.7,,39.6,5.76,1853.0,-29.57,153.34,0.0,0.0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1.0,0.0,0.0,9.28,-29.6,153.3
Lake Arragan,ARA,Lake,VL,2012,2012-09-17,18.05,,34.07,4.95,1810.0,-29.57,153.34,0.0,0.0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1.0,0.0,0.0,9.28,-29.6,153.3
Lake Arragan,ARA,Lake,VL,2012,2012-09-17,18.45,,34.26,3.63,1810.0,-29.57,153.34,0.0,0.0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1.0,0.0,0.0,9.28,-29.6,153.3
Lake Arragan,ARA,Lake,VL,2012,2012-09-26,22.17,,33.54,4.12,1819.0,-29.57,153.34,0.0,0.0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1.0,0.0,0.0,9.28,-29.6,153.3
Lake Arragan,ARA,Lake,VL,2012,2012-09-26,22.31,,33.32,4.61,1819.0,-29.57,153.34,0.0,0.0,0.97,813.69,0.97,0.97,0.84,9.28,1.19,551.82,6.37,1.0,0.0,0.0,9.28,-29.6,153.3
Arrawarra Creek,ARR,Lagoon,M,2015,2016-01-04,26.02,7.64,31.61,5.99,3103.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2015,2016-01-04,26.7,7.55,31.48,4.64,3103.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2015,2015-12-16,27.86,7.8,32.87,7.4,2996.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2015,2015-12-16,28.1,7.87,33.66,7.2,2996.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2018,2018-12-14,28.48,7.71,24.72,5.0,4090.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2018,2018-12-14,27.97,7.77,24.9,4.63,4090.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2015,2016-07-02,24.0,7.77,29.9,5.0,3049.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2015,2016-07-02,25.1,7.65,30.7,4.2,3049.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2015,2016-01-16,24.25,7.76,35.33,8.92,3027.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2015,2016-01-16,25.41,7.71,35.15,10.09,3027.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2018,2019-01-17,29.85,7.57,36.44,9.8,4124.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2018,2019-01-17,29.66,7.54,36.8,7.0,4124.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2015,2016-04-03,26.85,7.44,32.49,3.5,3075.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2015,2016-04-03,27.52,7.27,32.6,2.96,3075.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
Arrawarra Creek,ARR,Lagoon,M,2012,2012-12-11,25.18,,32.55,7.53,1867.0,-30.06,153.2,0.0,0.01,0.1,43.90,0.12,0.11,0.39,17.82,2.35,24.22,0.12,2.5,14.92,8.42,17.82,-30.1,153.2
